20220708	13:34:53	5583fc9a-2dc8-40f7-8251-ebc4cd60d997	GET	undefined	/employees
20220708	13:35:26	7f762a93-12c8-4f10-b538-98f27f72e44f	POST	undefined	/employees
20220708	13:57:34	f767ea9f-ec9c-4a67-aac7-9e7979bbdc67	POST	undefined	/auth
20220708	13:58:36	644cb8ac-c794-4fc1-ba26-c8219bff8a29	GET	undefined	/refresh
20220708	13:58:50	f91b4fb7-c2dd-4343-90fa-a1ff9a8b2cab	GET	undefined	/refresh
20220708	13:58:51	f693f3ee-087c-4b41-ae08-e1dec8479fa2	GET	undefined	/refresh
20220708	13:58:51	e2b0605b-5fdb-4e0a-a6a7-fbfcf4fa5ec0	GET	undefined	/refresh
20220708	13:58:51	53fcee02-ece6-4e45-b93f-64d3ebe20557	GET	undefined	/refresh
20220708	13:58:52	d93200e7-b6e3-4bee-9684-35125c23e330	GET	undefined	/refresh
20220710	19:18:02	585bcd02-0658-421a-808d-3b10cdd8b407	POST	undefined	/auth
20220710	19:19:17	d5811934-923d-4b0e-acd7-269fa168b886	GET	undefined	/refresh
20220710	19:20:24	69905717-0042-4e7c-ac06-29fc194a2823	POST	undefined	/auth
20220710	19:20:34	201deebc-add8-4a4c-8077-8304b923c428	POST	undefined	/auth
20220710	19:20:58	0e99aeb8-6053-417b-969d-fe57afd91a7c	GET	undefined	/refresh
20220710	19:21:26	fa596c1f-48cb-4004-90c4-491b3d1e066b	GET	undefined	/refresh
20220710	19:21:29	c751108f-c9d8-4ff4-bffd-f2ece207994f	GET	undefined	/refresh
20220710	19:45:01	58b533f0-339b-4511-b6bb-5620b8474c25	POST	undefined	/auth
20220710	19:46:32	fc1af6b0-ef2d-427a-a65e-5bb77de19f50	GET	undefined	/logout
20220710	19:47:02	9d78eb40-c939-4693-85a8-d794495abaee	GET	undefined	/logout
20220710	19:48:45	6d5e0546-6697-48b5-aa77-4bfb83a4a9f7	POST	undefined	/auth
20220710	19:48:51	548b679b-b104-4daf-a6fa-be15db1e81ff	GET	undefined	/logout
20220710	19:56:10	21dfcbdb-8798-46f1-b380-11016ce2d836	POST	undefined	/auth
20220710	19:56:36	91997037-c5e7-46ff-8f95-96411897790f	GET	undefined	/logout
20220710	19:56:59	97d90508-658c-46a9-b997-cf48a557ef06	GET	undefined	/refresh
20220710	19:59:05	7fe5befa-c2fc-437f-a96f-d3918f3e7ab1	GET	undefined	/refresh
20220710	19:59:16	7d05d42f-2e93-4b10-9eac-af7b71e26e12	POST	undefined	/auth
20220710	20:19:21	91f146df-5deb-438d-b76d-cbf73ead0cb5	GET	undefined	/
20220710	20:19:24	bab78f9c-c6b4-47ea-8b4d-07c71eb26ae8	GET	undefined	/favicon.ico
20220710	20:20:42	860ad8c4-a374-4e6c-8f0d-668db58ed4bf	GET	undefined	/
20220710	20:20:45	0c79ac88-d14f-4c59-a987-f5656452b1e5	GET	undefined	/favicon.ico
20220710	20:20:45	dae05439-613f-475d-afea-308a52400099	GET	undefined	/
20220710	20:20:49	5bb53ee6-e731-42f5-ac4f-f619b4102f58	GET	undefined	/favicon.ico
20220710	20:20:49	565416e0-058a-4690-945a-654d59dd1f7f	GET	undefined	/
20220710	20:20:52	8939540b-84c1-4d32-9b9d-e0eb6b960a78	GET	undefined	/favicon.ico
20220710	20:21:34	1ab5dbe8-670a-44eb-8f93-05146399a7b6	GET	undefined	/
20220710	20:21:37	cde62eea-2fb2-4910-8701-f2f31581e9a3	GET	undefined	/favicon.ico
20220710	20:23:45	b8e19764-800e-4563-b187-f6713dcff208	GET	undefined	/
20220710	20:23:48	18ba15f2-9ff8-4494-817f-b293632fbe88	GET	undefined	/css/style.css
20220710	20:23:48	9afe072b-52c9-4871-bc52-add5b63c85df	GET	undefined	/favicon.ico
20220710	20:23:58	3e9f279d-2a85-4e9e-98b3-24b31ae1fa6e	GET	undefined	/employees
